,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
273,"[832, 165, 81, 103]",0.34,0.0,0.09,0.02,0.33,0.0,0.23,"[318, 104, 85, 109]",0.12,0.0,0.01,0.0,0.14,0.0,0.73,"[277, 600, 27, 27]",0.02,0.11,0.12,0.22,0.17,0.01,0.35,,,,,,,,
274,"[820, 170, 81, 98]",0.22,0.0,0.06,0.06,0.42,0.0,0.22,"[321, 109, 83, 110]",0.08,0.0,0.03,0.0,0.09,0.0,0.79,,,,,,,,,,,,,,,,
275,"[322, 108, 85, 105]",0.11,0.0,0.02,0.0,0.17,0.0,0.69,"[845, 169, 81, 95]",0.19,0.0,0.09,0.07,0.33,0.0,0.32,,,,,,,,,,,,,,,,
276,"[847, 166, 78, 97]",0.33,0.0,0.03,0.24,0.07,0.0,0.34,"[320, 107, 84, 107]",0.09,0.0,0.01,0.0,0.08,0.0,0.82,,,,,,,,,,,,,,,,
277,"[843, 171, 77, 98]",0.23,0.0,0.13,0.28,0.22,0.01,0.13,"[319, 109, 84, 110]",0.07,0.0,0.06,0.01,0.18,0.0,0.68,,,,,,,,,,,,,,,,
278,"[849, 174, 81, 104]",0.65,0.0,0.09,0.01,0.11,0.03,0.11,"[315, 111, 84, 107]",0.07,0.0,0.01,0.0,0.06,0.0,0.85,,,,,,,,,,,,,,,,
279,"[834, 170, 82, 100]",0.38,0.0,0.08,0.22,0.13,0.0,0.2,"[318, 111, 80, 107]",0.06,0.0,0.01,0.0,0.12,0.0,0.81,,,,,,,,,,,,,,,,
280,"[827, 170, 80, 99]",0.18,0.0,0.05,0.14,0.26,0.0,0.37,"[310, 137, 73, 97]",0.17,0.0,0.04,0.02,0.32,0.02,0.43,,,,,,,,,,,,,,,,
281,"[821, 177, 81, 95]",0.14,0.0,0.01,0.78,0.02,0.0,0.05,"[328, 121, 79, 105]",0.55,0.0,0.03,0.0,0.14,0.0,0.28,,,,,,,,,,,,,,,,
282,"[323, 106, 85, 108]",0.06,0.0,0.01,0.0,0.08,0.0,0.85,"[828, 163, 83, 104]",0.12,0.0,0.42,0.08,0.19,0.1,0.1,,,,,,,,,,,,,,,,
283,"[847, 175, 83, 106]",0.14,0.0,0.24,0.17,0.12,0.01,0.32,"[328, 115, 76, 110]",0.08,0.0,0.02,0.02,0.13,0.0,0.74,,,,,,,,,,,,,,,,
284,"[329, 113, 83, 106]",0.05,0.0,0.01,0.0,0.18,0.0,0.76,"[825, 169, 83, 104]",0.14,0.0,0.1,0.21,0.35,0.0,0.2,,,,,,,,,,,,,,,,
285,"[807, 175, 85, 104]",0.58,0.0,0.14,0.13,0.11,0.02,0.03,"[327, 106, 84, 110]",0.13,0.0,0.02,0.0,0.26,0.0,0.6,,,,,,,,,,,,,,,,
286,"[324, 103, 84, 106]",0.14,0.0,0.01,0.0,0.21,0.0,0.63,"[838, 169, 79, 101]",0.22,0.0,0.01,0.33,0.17,0.0,0.27,,,,,,,,,,,,,,,,
287,"[835, 170, 81, 98]",0.25,0.0,0.02,0.69,0.02,0.0,0.02,"[324, 103, 82, 106]",0.06,0.0,0.01,0.0,0.07,0.0,0.86,,,,,,,,,,,,,,,,
288,"[319, 103, 84, 107]",0.12,0.0,0.02,0.0,0.48,0.0,0.38,"[818, 168, 81, 96]",0.13,0.0,0.1,0.03,0.59,0.0,0.14,,,,,,,,,,,,,,,,
289,"[835, 178, 77, 96]",0.1,0.0,0.27,0.1,0.41,0.0,0.12,"[322, 96, 88, 112]",0.1,0.0,0.06,0.01,0.09,0.03,0.71,,,,,,,,,,,,,,,,
290,"[851, 172, 78, 92]",0.09,0.0,0.1,0.04,0.73,0.0,0.04,"[322, 103, 83, 103]",0.05,0.0,0.04,0.01,0.09,0.0,0.8,,,,,,,,,,,,,,,,
291,"[322, 102, 86, 112]",0.04,0.0,0.01,0.01,0.05,0.0,0.89,"[853, 173, 78, 94]",0.28,0.0,0.06,0.07,0.44,0.0,0.14,,,,,,,,,,,,,,,,
292,"[856, 171, 80, 98]",0.23,0.0,0.05,0.49,0.16,0.05,0.03,"[322, 109, 79, 103]",0.03,0.0,0.01,0.0,0.12,0.0,0.84,,,,,,,,,,,,,,,,
293,"[337, 105, 86, 107]",0.15,0.0,0.05,0.0,0.22,0.0,0.58,"[836, 165, 79, 95]",0.08,0.0,0.02,0.63,0.02,0.03,0.22,,,,,,,,,,,,,,,,
294,"[337, 103, 88, 109]",0.51,0.0,0.02,0.0,0.18,0.0,0.29,"[841, 169, 83, 106]",0.13,0.0,0.03,0.05,0.11,0.0,0.67,,,,,,,,,,,,,,,,
295,"[337, 97, 84, 111]",0.15,0.0,0.02,0.02,0.32,0.0,0.49,"[840, 167, 81, 97]",0.0,0.0,0.01,0.89,0.01,0.01,0.08,,,,,,,,,,,,,,,,
296,"[829, 165, 77, 94]",0.22,0.0,0.07,0.29,0.25,0.0,0.17,"[339, 104, 83, 107]",0.05,0.0,0.0,0.01,0.08,0.0,0.85,,,,,,,,,,,,,,,,
297,"[344, 99, 79, 110]",0.32,0.0,0.01,0.02,0.11,0.0,0.53,"[827, 165, 78, 96]",0.08,0.0,0.02,0.67,0.02,0.0,0.21,,,,,,,,,,,,,,,,
298,"[334, 111, 80, 107]",0.16,0.0,0.02,0.01,0.16,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
299,"[818, 167, 86, 105]",0.05,0.0,0.07,0.49,0.05,0.01,0.34,"[336, 109, 81, 106]",0.06,0.0,0.02,0.0,0.1,0.0,0.82,,,,,,,,,,,,,,,,
300,"[832, 169, 82, 98]",0.44,0.0,0.13,0.37,0.04,0.01,0.02,"[342, 104, 81, 109]",0.26,0.0,0.01,0.01,0.18,0.0,0.54,,,,,,,,,,,,,,,,
301,"[348, 120, 81, 109]",0.02,0.0,0.01,0.0,0.05,0.0,0.91,"[831, 171, 82, 101]",0.23,0.0,0.05,0.41,0.15,0.0,0.16,"[283, 605, 23, 24]",0.08,0.12,0.12,0.23,0.3,0.0,0.16,,,,,,,,
302,"[342, 111, 81, 108]",0.1,0.0,0.01,0.0,0.07,0.0,0.82,"[858, 184, 76, 96]",0.25,0.0,0.03,0.69,0.01,0.01,0.01,"[278, 606, 25, 25]",0.03,0.06,0.06,0.36,0.05,0.0,0.43,,,,,,,,
303,"[346, 114, 81, 106]",0.46,0.0,0.01,0.0,0.06,0.0,0.46,"[842, 178, 82, 104]",0.18,0.0,0.12,0.54,0.02,0.08,0.07,,,,,,,,,,,,,,,,
304,"[344, 111, 82, 105]",0.11,0.0,0.01,0.0,0.05,0.0,0.83,"[828, 189, 82, 102]",0.32,0.0,0.14,0.03,0.37,0.02,0.13,"[281, 605, 25, 25]",0.05,0.24,0.11,0.11,0.3,0.0,0.19,,,,,,,,
305,"[346, 107, 81, 106]",0.14,0.0,0.02,0.0,0.24,0.0,0.59,"[842, 173, 71, 87]",0.08,0.0,0.0,0.83,0.02,0.0,0.07,"[286, 604, 20, 19]",0.03,0.04,0.11,0.46,0.16,0.0,0.2,,,,,,,,
306,"[342, 106, 81, 107]",0.05,0.0,0.01,0.0,0.16,0.0,0.79,"[863, 163, 76, 92]",0.22,0.0,0.06,0.28,0.27,0.0,0.17,,,,,,,,,,,,,,,,
307,"[348, 101, 84, 108]",0.07,0.0,0.01,0.0,0.15,0.0,0.77,"[848, 159, 74, 96]",0.0,0.0,0.0,0.93,0.01,0.02,0.03,,,,,,,,,,,,,,,,
308,"[853, 135, 79, 91]",0.39,0.0,0.01,0.23,0.06,0.0,0.31,"[364, 108, 79, 107]",0.19,0.0,0.02,0.02,0.44,0.0,0.34,,,,,,,,,,,,,,,,
309,"[988, 140, 82, 98]",0.4,0.0,0.12,0.06,0.07,0.0,0.36,"[310, 100, 95, 122]",0.33,0.0,0.04,0.14,0.14,0.0,0.34,,,,,,,,,,,,,,,,
310,"[526, 102, 82, 104]",0.07,0.0,0.06,0.04,0.16,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,
311,"[533, 98, 79, 104]",0.1,0.0,0.22,0.04,0.25,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,
