,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6
36,"[520, 108, 236, 317]",0.11,0.0,0.12,0.09,0.24,0.04,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[520, 99, 242, 319]",0.19,0.0,0.14,0.0,0.14,0.02,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[1186, 253, 65, 74]",0.06,0.0,0.18,0.51,0.08,0.1,0.07,"[739, 279, 61, 76]",0.11,0.0,0.12,0.5,0.07,0.02,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[740, 165, 59, 72]",0.12,0.0,0.12,0.49,0.06,0.02,0.18,"[1169, 139, 63, 69]",0.05,0.0,0.1,0.58,0.07,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[1132, 439, 148, 220]",0.57,0.02,0.05,0.0,0.14,0.0,0.21,"[1151, 23, 68, 74]",0.09,0.0,0.17,0.58,0.07,0.02,0.07,"[742, 48, 57, 70]",0.09,0.0,0.09,0.6,0.05,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[530, 95, 241, 311]",0.24,0.0,0.41,0.0,0.08,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[536, 110, 233, 328]",0.12,0.0,0.14,0.2,0.09,0.03,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[530, 99, 240, 323]",0.04,0.0,0.14,0.01,0.04,0.03,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[533, 111, 237, 320]",0.05,0.0,0.11,0.22,0.05,0.02,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[530, 99, 246, 322]",0.06,0.0,0.04,0.01,0.05,0.01,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[526, 102, 244, 325]",0.08,0.0,0.57,0.08,0.08,0.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[522, 72, 249, 333]",0.2,0.0,0.24,0.25,0.21,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[536, 116, 235, 318]",0.03,0.0,0.03,0.01,0.04,0.01,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[528, 99, 243, 326]",0.02,0.0,0.06,0.02,0.01,0.02,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[531, 102, 242, 328]",0.1,0.0,0.67,0.01,0.02,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[530, 93, 239, 327]",0.1,0.0,0.59,0.02,0.02,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[531, 106, 240, 322]",0.11,0.0,0.23,0.0,0.02,0.21,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[528, 123, 236, 311]",0.15,0.0,0.17,0.01,0.05,0.03,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[531, 94, 238, 323]",0.2,0.0,0.26,0.02,0.06,0.06,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[515, 68, 240, 306]",0.1,0.0,0.18,0.0,0.28,0.13,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"[528, 108, 242, 321]",0.1,0.0,0.13,0.0,0.03,0.19,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[526, 108, 239, 323]",0.13,0.0,0.34,0.04,0.02,0.14,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[516, 80, 245, 316]",0.15,0.0,0.53,0.0,0.08,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[353, 310, 134, 170]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[695, 418, 113, 146]",0.09,0.0,0.02,0.37,0.28,0.0,0.24,"[838, 440, 203, 257]",0.23,0.0,0.18,0.1,0.38,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[691, 393, 113, 145]",0.13,0.0,0.03,0.21,0.34,0.0,0.29,"[355, 282, 132, 172]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[838, 439, 152, 205]",0.47,0.0,0.19,0.08,0.11,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[691, 373, 110, 141]",0.11,0.0,0.02,0.4,0.29,0.0,0.19,"[356, 260, 130, 170]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[547, 123, 238, 318]",0.19,0.0,0.63,0.0,0.04,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[543, 99, 242, 341]",0.2,0.0,0.3,0.18,0.26,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[532, 87, 240, 314]",0.16,0.0,0.51,0.01,0.12,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[528, 95, 240, 313]",0.15,0.0,0.08,0.02,0.09,0.22,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[533, 115, 235, 302]",0.14,0.0,0.26,0.01,0.14,0.33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[540, 129, 226, 299]",0.09,0.0,0.04,0.01,0.17,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[539, 114, 237, 319]",0.06,0.0,0.22,0.02,0.02,0.11,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[532, 107, 240, 322]",0.17,0.0,0.48,0.01,0.03,0.03,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[544, 95, 242, 323]",0.15,0.0,0.37,0.0,0.03,0.05,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[546, 135, 235, 312]",0.05,0.0,0.44,0.01,0.03,0.12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[537, 142, 239, 317]",0.19,0.0,0.15,0.0,0.08,0.03,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[538, 121, 238, 320]",0.12,0.0,0.68,0.01,0.04,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[533, 130, 230, 307]",0.04,0.0,0.09,0.01,0.19,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[532, 93, 241, 317]",0.15,0.0,0.5,0.02,0.27,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[545, 132, 239, 320]",0.06,0.0,0.72,0.0,0.04,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[543, 136, 236, 312]",0.04,0.0,0.13,0.0,0.11,0.02,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
