,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
92,"[468, 123, 148, 190]",0.18,0.0,0.02,0.1,0.18,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[473, 108, 147, 196]",0.5,0.0,0.11,0.05,0.08,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[481, 89, 154, 197]",0.47,0.0,0.25,0.05,0.12,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[472, 137, 143, 188]",0.04,0.0,0.0,0.33,0.03,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[497, 126, 143, 196]",0.16,0.0,0.01,0.5,0.06,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[463, 101, 150, 196]",0.05,0.0,0.01,0.04,0.02,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[462, 128, 145, 195]",0.13,0.0,0.02,0.07,0.15,0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[454, 147, 140, 187]",0.09,0.0,0.0,0.1,0.1,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[861, 173, 37, 57]",0.27,0.0,0.07,0.08,0.42,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[862, 173, 36, 56]",0.24,0.0,0.05,0.2,0.31,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[862, 174, 36, 55]",0.27,0.0,0.05,0.15,0.36,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
