,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
242,"[571, 88, 141, 184]",0.02,0.0,0.94,0.0,0.0,0.04,0.0,,,,,,,,
243,"[565, 110, 143, 191]",0.19,0.0,0.64,0.0,0.07,0.04,0.05,,,,,,,,
244,"[557, 106, 137, 184]",0.15,0.0,0.54,0.04,0.1,0.02,0.15,,,,,,,,
245,"[571, 132, 148, 192]",0.25,0.0,0.48,0.0,0.09,0.15,0.02,,,,,,,,
246,"[578, 98, 134, 179]",0.11,0.0,0.77,0.0,0.02,0.09,0.01,,,,,,,,
247,"[581, 104, 147, 194]",0.33,0.0,0.38,0.0,0.11,0.02,0.17,,,,,,,,
248,"[576, 117, 140, 179]",0.28,0.0,0.12,0.0,0.16,0.01,0.42,,,,,,,,
249,"[567, 112, 138, 184]",0.14,0.0,0.12,0.0,0.18,0.0,0.56,,,,,,,,
250,"[554, 97, 138, 183]",0.1,0.0,0.75,0.0,0.1,0.03,0.01,,,,,,,,
251,"[546, 119, 142, 190]",0.12,0.0,0.81,0.0,0.05,0.01,0.01,,,,,,,,
252,"[581, 109, 141, 190]",0.34,0.0,0.32,0.0,0.05,0.03,0.26,,,,,,,,
253,"[599, 111, 141, 188]",0.26,0.0,0.1,0.0,0.12,0.01,0.51,,,,,,,,
254,"[484, 88, 149, 185]",0.38,0.0,0.22,0.0,0.1,0.08,0.22,,,,,,,,
255,"[556, 95, 136, 179]",0.08,0.0,0.75,0.0,0.02,0.13,0.02,,,,,,,,
256,"[531, 95, 138, 185]",0.31,0.0,0.48,0.0,0.11,0.09,0.01,,,,,,,,
257,"[554, 97, 140, 185]",0.12,0.0,0.69,0.0,0.04,0.03,0.12,,,,,,,,
258,"[520, 101, 144, 193]",0.29,0.0,0.55,0.0,0.07,0.02,0.07,,,,,,,,
259,"[528, 94, 141, 183]",0.05,0.0,0.85,0.0,0.06,0.01,0.03,,,,,,,,
260,"[514, 100, 139, 186]",0.33,0.0,0.45,0.0,0.13,0.01,0.07,,,,,,,,
