,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
263,"[639, 158, 149, 193]",0.44,0.01,0.3,0.01,0.13,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"[637, 149, 153, 194]",0.2,0.0,0.24,0.0,0.36,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"[691, 100, 147, 208]",0.08,0.0,0.1,0.01,0.08,0.1,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"[679, 127, 141, 193]",0.14,0.0,0.1,0.02,0.08,0.01,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"[676, 123, 148, 198]",0.33,0.0,0.17,0.14,0.08,0.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,"[632, 152, 153, 198]",0.19,0.0,0.24,0.01,0.18,0.02,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"[624, 140, 155, 196]",0.3,0.07,0.38,0.0,0.15,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"[636, 147, 145, 203]",0.21,0.0,0.32,0.05,0.04,0.07,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"[654, 156, 149, 201]",0.21,0.0,0.16,0.38,0.01,0.01,0.23,"[248, 575, 25, 31]",0.08,0.0,0.02,0.04,0.77,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,"[647, 146, 157, 198]",0.16,0.04,0.3,0.0,0.32,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,"[636, 141, 154, 199]",0.22,0.02,0.35,0.0,0.34,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,"[644, 146, 148, 185]",0.21,0.01,0.34,0.0,0.3,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,"[659, 166, 147, 195]",0.47,0.0,0.3,0.04,0.07,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,"[631, 152, 151, 199]",0.07,0.0,0.08,0.15,0.02,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,"[627, 144, 145, 207]",0.17,0.0,0.09,0.11,0.02,0.01,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,"[585, 184, 149, 193]",0.19,0.0,0.22,0.15,0.27,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"[374, 357, 36, 44]",0.03,0.0,0.07,0.2,0.6,0.0,0.1,"[1102, 344, 30, 37]",0.47,0.0,0.22,0.05,0.18,0.0,0.07,"[671, 342, 28, 36]",0.49,0.0,0.21,0.11,0.1,0.02,0.06,"[520, 348, 26, 35]",0.42,0.0,0.14,0.02,0.29,0.03,0.09,"[807, 343, 26, 32]",0.43,0.0,0.01,0.03,0.03,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
