,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
133,"[523, 372, 21, 28]",0.35,0.0,0.1,0.01,0.35,0.03,0.16,"[1163, 375, 20, 27]",0.05,0.0,0.14,0.23,0.12,0.26,0.2,"[765, 366, 21, 27]",0.5,0.0,0.04,0.03,0.08,0.03,0.33,"[407, 373, 26, 33]",0.13,0.0,0.16,0.03,0.53,0.04,0.11,"[277, 371, 24, 31]",0.33,0.0,0.23,0.14,0.23,0.01,0.07,"[882, 370, 27, 34]",0.24,0.0,0.05,0.13,0.45,0.01,0.12,"[30, 374, 27, 31]",0.3,0.0,0.09,0.04,0.52,0.0,0.05,"[163, 372, 21, 25]",0.29,0.0,0.14,0.05,0.48,0.03,0.02,"[1014, 368, 24, 29]",0.47,0.0,0.09,0.05,0.31,0.01,0.07,,,,,,,,
134,"[1162, 375, 20, 26]",0.19,0.0,0.15,0.15,0.15,0.2,0.16,"[522, 372, 22, 29]",0.15,0.0,0.06,0.02,0.5,0.01,0.27,"[30, 367, 29, 35]",0.4,0.0,0.15,0.03,0.18,0.02,0.21,"[407, 374, 26, 33]",0.15,0.0,0.1,0.12,0.42,0.01,0.18,"[766, 365, 21, 28]",0.3,0.0,0.04,0.1,0.16,0.04,0.35,"[274, 370, 25, 31]",0.25,0.0,0.11,0.13,0.41,0.0,0.09,"[1017, 367, 26, 31]",0.66,0.0,0.05,0.07,0.19,0.0,0.03,"[655, 361, 23, 34]",0.4,0.0,0.23,0.05,0.17,0.02,0.14,,,,,,,,,,,,,,,,
135,"[655, 112, 152, 195]",0.12,0.01,0.36,0.0,0.24,0.04,0.23,"[246, 573, 25, 30]",0.09,0.0,0.02,0.03,0.62,0.07,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"[649, 114, 153, 202]",0.45,0.01,0.22,0.0,0.23,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"[661, 137, 143, 196]",0.28,0.0,0.03,0.22,0.03,0.01,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"[667, 137, 142, 201]",0.11,0.0,0.24,0.0,0.04,0.02,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"[658, 138, 140, 196]",0.29,0.0,0.1,0.06,0.05,0.03,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"[623, 140, 149, 194]",0.18,0.0,0.14,0.04,0.07,0.19,0.38,"[208, 620, 21, 22]",0.07,0.0,0.02,0.11,0.52,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"[673, 118, 146, 206]",0.16,0.0,0.28,0.1,0.08,0.01,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"[635, 118, 151, 208]",0.07,0.0,0.49,0.04,0.07,0.09,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"[643, 140, 148, 195]",0.42,0.01,0.17,0.04,0.13,0.02,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"[643, 137, 156, 199]",0.26,0.02,0.22,0.0,0.34,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"[645, 139, 146, 208]",0.2,0.0,0.1,0.11,0.06,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"[649, 147, 149, 195]",0.11,0.0,0.13,0.01,0.09,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"[620, 118, 156, 208]",0.04,0.0,0.7,0.03,0.07,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"[623, 114, 146, 192]",0.0,0.0,0.0,0.92,0.0,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"[618, 108, 147, 190]",0.05,0.0,0.01,0.88,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
