,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
148,"[625, 84, 218, 283]",0.19,0.02,0.09,0.0,0.11,0.01,0.58,,,,,,,,
149,"[635, 92, 213, 281]",0.3,0.03,0.17,0.03,0.16,0.0,0.31,,,,,,,,
150,"[621, 132, 217, 289]",0.49,0.07,0.03,0.01,0.05,0.01,0.34,,,,,,,,
151,"[584, 109, 230, 296]",0.33,0.36,0.03,0.01,0.09,0.0,0.17,,,,,,,,
152,"[588, 78, 218, 281]",0.13,0.01,0.14,0.0,0.07,0.01,0.64,,,,,,,,
153,"[586, 68, 213, 289]",0.03,0.0,0.03,0.03,0.03,0.0,0.87,,,,,,,,
154,"[568, 91, 216, 276]",0.07,0.03,0.03,0.05,0.07,0.0,0.76,,,,,,,,
155,"[563, 102, 225, 297]",0.05,0.0,0.04,0.0,0.2,0.01,0.69,,,,,,,,
156,"[574, 105, 218, 283]",0.12,0.0,0.62,0.03,0.12,0.04,0.07,,,,,,,,
157,"[568, 101, 218, 277]",0.03,0.01,0.02,0.03,0.04,0.0,0.87,,,,,,,,
158,"[576, 76, 221, 281]",0.1,0.07,0.23,0.11,0.1,0.0,0.4,,,,,,,,
159,"[576, 63, 218, 277]",0.41,0.22,0.13,0.06,0.08,0.02,0.1,,,,,,,,
160,"[565, 74, 225, 294]",0.31,0.09,0.1,0.31,0.06,0.01,0.12,,,,,,,,
161,"[572, 65, 223, 307]",0.79,0.01,0.17,0.0,0.03,0.0,0.0,,,,,,,,
162,"[573, 55, 220, 279]",0.07,0.0,0.04,0.0,0.01,0.0,0.87,,,,,,,,
163,"[580, 71, 227, 303]",0.01,0.0,0.08,0.01,0.04,0.07,0.8,,,,,,,,
164,"[576, 102, 209, 278]",0.08,0.0,0.09,0.0,0.07,0.04,0.73,,,,,,,,
165,"[573, 87, 219, 289]",0.06,0.02,0.08,0.02,0.16,0.0,0.66,,,,,,,,
166,"[585, 93, 215, 286]",0.11,0.01,0.08,0.01,0.06,0.01,0.7,,,,,,,,
167,"[570, 78, 215, 286]",0.09,0.0,0.25,0.02,0.11,0.02,0.52,,,,,,,,
168,"[548, 83, 222, 293]",0.18,0.02,0.13,0.12,0.16,0.03,0.36,,,,,,,,
169,"[576, 68, 216, 262]",0.1,0.0,0.07,0.0,0.03,0.14,0.65,,,,,,,,
170,"[616, 79, 217, 290]",0.1,0.0,0.04,0.11,0.12,0.07,0.55,,,,,,,,
171,"[610, 82, 218, 274]",0.25,0.01,0.11,0.01,0.11,0.01,0.51,,,,,,,,
172,"[592, 76, 218, 292]",0.06,0.01,0.06,0.05,0.04,0.01,0.77,,,,,,,,
173,"[571, 90, 219, 283]",0.2,0.64,0.04,0.02,0.04,0.0,0.07,,,,,,,,
174,"[559, 83, 217, 288]",0.13,0.1,0.05,0.04,0.06,0.0,0.63,,,,,,,,
175,"[535, 68, 224, 289]",0.44,0.01,0.08,0.02,0.11,0.04,0.31,,,,,,,,
176,"[537, 35, 234, 293]",0.12,0.01,0.01,0.77,0.02,0.03,0.03,,,,,,,,
