,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
57,61,4.0,1.0,3.0,3.0,3.0,0.20364238410596028,0.0023178807947019865,0.046589403973509934,0.09480132450331126,0.08927152317880795,0.019536423841059605,0.5421854304635761,0.3418211920529801,1,0
58,62,4.0,1.0,3.0,3.0,3.0,0.22821138211382114,0.0015447154471544715,0.09146341463414634,0.10691056910569105,0.39707317073170734,0.010813008130081299,0.16325203252032522,0.7182926829268292,1,0
59,63,4.0,1.0,3.0,3.0,3.0,0.3006106870229007,0.000267175572519084,0.03770992366412214,0.17759541984732824,0.18061068702290073,0.019312977099236642,0.2825954198473282,0.5191984732824426,1,0
60,64,4.0,1.0,3.0,3.0,3.0,0.18306382978723407,0.001574468085106383,0.10548936170212765,0.06795744680851064,0.20634042553191487,0.031787234042553195,0.4018723404255319,0.49646808510638296,1,0
61,65,1.0,3.0,1.0,3.0,2.0,0.2903754266211604,0.003754266211604096,0.07331058020477815,0.10641638225255974,0.33457337883959043,0.009044368600682594,0.18136518771331062,0.702013651877133,0,1
62,66,,,,,,0.14257641921397382,0.0010480349344978166,0.13659388646288212,0.10192139737991268,0.07008733624454147,0.0677292576419214,0.47925764192139736,0.3503056768558952,,
63,67,,,,,,0.3223636363636364,0.0,0.24207272727272736,0.055200000000000006,0.2208,0.050109090909090916,0.10858181818181818,0.7852363636363637,,
64,68,,,,,,0.15603508771929825,0.00017543859649122808,0.10080701754385965,0.0548421052631579,0.4345614035087719,0.005192982456140351,0.24659649122807017,0.6915789473684211,,
65,69,,,,,,0.11816546762589929,0.0,0.3499640287769784,0.013129496402877699,0.3228057553956835,0.00539568345323741,0.18859712230215828,0.7909352517985613,,
66,70,2.0,3.0,1.0,3.0,3.0,0.22157894736842107,0.001674641148325359,0.07598086124401915,0.2532535885167464,0.17784688995215311,0.01923444976076555,0.24846889952153114,0.47708133971291866,0,1
67,71,2.0,3.0,1.0,3.0,3.0,0.39820338983050846,0.006305084745762713,0.08061016949152543,0.11918644067796612,0.09566101694915254,0.023966101694915254,0.27481355932203394,0.5807796610169491,0,1
68,72,2.0,3.0,1.0,3.0,3.0,0.20712598425196851,0.00019685039370078743,0.21696850393700787,0.08082677165354331,0.05858267716535434,0.14673228346456693,0.2879133858267716,0.48287401574803157,0,1
69,73,2.0,3.0,1.0,3.0,3.0,0.2232894736842105,3.289473684210526e-05,0.07019736842105265,0.027960526315789474,0.10075657894736843,0.02506578947368421,0.550953947368421,0.3942763157894737,0,1
70,74,2.0,3.0,1.0,3.0,3.0,0.1058219178082192,0.0007191780821917808,0.23780821917808218,0.016746575342465757,0.08962328767123288,0.273458904109589,0.27428082191780817,0.43397260273972604,0,1
71,75,4.0,4.0,4.0,3.0,3.0,0.539221183800623,0.000560747663551402,0.014112149532710281,0.0017133956386292837,0.17993769470404986,3.115264797507788e-05,0.26177570093457947,0.7338317757009345,1,1
72,76,4.0,4.0,4.0,3.0,3.0,0.15150326797385621,6.535947712418301e-05,0.018627450980392157,0.01607843137254902,0.09294117647058822,0.0014705882352941178,0.716797385620915,0.26313725490196077,1,1
73,77,4.0,4.0,4.0,3.0,3.0,0.2225177304964539,0.00014184397163120567,0.20893617021276598,0.20248226950354614,0.1471985815602837,0.06283687943262412,0.15574468085106383,0.5787943262411348,1,1
74,78,4.0,4.0,4.0,3.0,3.0,0.24936026936026942,0.006801346801346801,0.05353535353535354,0.020134680134680137,0.3843771043771044,0.004781144781144782,0.2784848484848485,0.6940740740740741,1,1
75,79,4.0,4.0,4.0,3.0,3.0,0.2760200668896321,0.0006020066889632107,0.05367892976588629,0.07220735785953178,0.2011705685618729,0.0067558528428093645,0.3869565217391305,0.5314715719063545,1,1
76,80,1.0,1.0,1.0,3.0,3.0,0.1751827242524917,0.0,0.19591362126245848,0.06126245847176079,0.2012956810631229,0.007508305647840532,0.3585049833887043,0.5723920265780731,0,0
77,81,1.0,1.0,1.0,3.0,3.0,0.23126666666666665,9.999999999999999e-05,0.0524,0.0838,0.15886666666666668,0.002033333333333333,0.46959999999999996,0.4426333333333333,0,0
78,82,1.0,1.0,1.0,3.0,3.0,0.208255033557047,3.3557046979865775e-05,0.05080536912751678,0.016342281879194627,0.16597315436241614,0.00325503355704698,0.553489932885906,0.4250671140939598,0,0
79,83,1.0,1.0,1.0,3.0,3.0,0.08473309608540926,0.0,0.03427046263345196,0.08654804270462634,0.09270462633451959,0.005338078291814947,0.6955516014234876,0.2117081850533808,0,0
80,84,1.0,1.0,1.0,3.0,3.0,0.17336700336700336,0.0005723905723905723,0.05791245791245792,0.06676767676767677,0.1502020202020202,0.0021885521885521885,0.5472053872053873,0.3820538720538721,0,0
81,85,2.0,1.0,1.0,3.0,3.0,0.376,0.0014193548387096775,0.13429032258064516,0.042967741935483875,0.25270967741935485,0.00038709677419354843,0.19016129032258067,0.7644193548387097,0,0
82,86,2.0,1.0,1.0,3.0,3.0,0.11802721088435375,6.802721088435374e-05,0.05374149659863946,0.3337414965986395,0.07857142857142857,0.002142857142857143,0.41241496598639454,0.2504081632653061,0,0
83,87,2.0,1.0,1.0,3.0,3.0,0.1668881118881119,0.004615384615384615,0.14041958041958044,0.1967132867132867,0.1679020979020979,0.062062937062937064,0.261013986013986,0.47982517482517484,0,0
84,88,2.0,1.0,1.0,3.0,3.0,0.28854014598540145,0.002737226277372263,0.16222627737226278,0.06905109489051095,0.11197080291970804,0.017153284671532848,0.34722627737226275,0.5654744525547446,0,0
85,89,2.0,1.0,1.0,3.0,3.0,0.08057142857142859,0.00014285714285714284,0.22919047619047625,0.24661904761904763,0.0988095238095238,0.048619047619047624,0.2952857142857143,0.40871428571428575,0,0
86,90,2.0,1.0,1.0,3.0,3.0,0.0747,9.999999999999999e-05,0.28583333333333333,0.2778333333333334,0.037566666666666665,0.19503333333333336,0.12783333333333333,0.3982,0,0
87,91,2.0,1.0,1.0,3.0,3.0,0.10681388012618297,0.0009148264984227129,0.2903470031545742,0.18517350157728707,0.08943217665615143,0.13678233438485804,0.18965299684542586,0.4875078864353313,0,0
88,92,2.0,1.0,1.0,3.0,3.0,0.16029801324503312,3.3112582781456954e-05,0.31182119205298015,0.1829470198675497,0.046688741721854304,0.1045364238410596,0.1935430463576159,0.518841059602649,0,0
